Z,E,f0,X2i,alpha
30.0,80.0,3.0,-17.616983620343614,0.4041556793580743
30.0,80.0,3.2,-12.51537940576872,0.28711848606826657
30.0,80.0,3.4,-6.2143725301665205,0.14256549281304362
30.0,80.0,3.6,13.278551247937665,-0.30462660442642664
30.0,80.0,3.8,-27.632996115633684,0.6339355566475307
30.0,90.0,2.4,-40.50047596930328,0.929131668193029
30.0,90.0,2.6,-26.23748445362412,0.6019207704635726
30.0,90.0,2.8,-18.933350829824764,0.434354792628418
30.0,90.0,3.0,-13.650498567629683,0.3131595420118344
30.0,90.0,3.2,-8.338557354639267,0.19129695441385483
30.0,90.0,3.4,0.7984778544012795,-0.018318082519261165
30.0,90.0,3.6,-6.3280070168402585,0.14517241032797487
30.0,90.0,3.8,-21.614952100318078,0.49587408597624033
30.0,100.0,2.4,-29.942284441019833,0.6869135245047718
30.0,100.0,2.6,-20.80936123160254,0.4773928219955885
30.0,100.0,2.8,-14.93105127665776,0.34253702576412787
30.0,100.0,3.0,-9.757371488196473,0.22384632849447086
30.0,100.0,3.2,-3.0466299033993463,0.06989350758884173
30.0,100.0,3.4,15.629567949234687,-0.3585618735151507
30.0,100.0,3.6,-44.14551385521455,1.0127534047407782
30.0,100.0,3.8,-17.37061769219319,0.39850373625543456
30.0,110.0,2.4,-23.671528681350054,0.5430545297554502
30.0,110.0,2.6,-16.666539001998842,0.3823512888507358
30.0,110.0,2.8,-11.221668449045339,0.25743913562579146
30.0,110.0,3.0,-5.288473573551057,0.12132421054292049
30.0,110.0,3.2,5.4902347181885505,-0.12595286401937972
30.0,110.0,3.4,64.10544023913789,-1.470659126939227
30.0,110.0,3.6,-29.712264043520936,0.6816365683571809
30.0,110.0,3.8,-13.615060718460937,0.31234655334621264
30.0,120.0,2.4,-19.15856289014996,0.43952143949611744
30.0,120.0,2.6,-13.036863392105504,0.29908198216466525
30.0,120.0,2.8,-7.287304084419087,0.16717988711337747
30.0,120.0,3.0,0.866516818611294,-0.019878981615027127
30.0,120.0,3.2,26.386314974617783,-0.6053351291084856
30.0,120.0,3.4,-62.29367592105499,1.4290949832361048
30.0,120.0,3.6,-22.58852234760767,0.5182090073893341
30.0,120.0,3.8,-9.484145167471326,0.21757817432852944
30.0,130.0,2.4,-15.44234392180635,0.35426671972332474
30.0,130.0,2.6,-9.456033378022696,0.21693325465286703
30.0,130.0,2.8,-2.4690974070533103,0.056644188440780674
30.0,130.0,3.0,11.862426293583079,-0.272138923486417
30.0,130.0,3.2,93.03295562329079,-2.134292577714691
30.0,130.0,3.4,-34.87612056538442,0.8001019075819586
30.0,130.0,3.6,-17.877835713078024,0.41013995322827923
30.0,130.0,3.8,-3.772608609542015,0.08654836880139154
30.0,140.0,2.4,-12.030340148228207,0.275991077717824
30.0,140.0,2.6,-5.484424689277708,0.1258195746758601
30.0,140.0,2.8,4.589171876321503,-0.10528135334268474
30.0,140.0,3.0,44.76338164463318,-1.026928066054398
30.0,140.0,3.2,-60.63510037130246,1.3910451818329375
30.0,140.0,3.4,-25.17167862615553,0.5774698492646143
30.0,140.0,3.6,-13.898275485481172,0.3188438549862688
30.0,140.0,3.8,5.883210756655732,-0.1349682267637001
30.0,150.0,2.4,-8.570569713715901,0.19661960865608302
30.0,150.0,2.6,-0.463823082411784,0.0106406827078854
30.0,150.0,2.8,18.18874483516593,-0.417272598076229
30.0,150.0,3.0,-212.80698316463366,4.8820588533513805
30.0,150.0,3.2,-34.73173098281588,0.7967894296292728
30.0,150.0,3.4,-19.574444976239775,0.4490622956755139
30.0,150.0,3.6,-9.737485182688564,0.22339011172741946
30.0,150.0,3.8,-9.035060805528088,0.20727561633666838
30.0,160.0,2.4,-4.690351460596233,0.10760253978986402
30.0,160.0,2.6,7.047058521801271,-0.16166835286523062
30.0,160.0,2.8,66.37003852665603,-1.5226118493285539
30.0,160.0,3.0,-54.93319260112928,1.2602362727623577
30.0,160.0,3.2,-25.21263754253514,0.5784094981302723
30.0,160.0,3.4,-15.296843584057635,0.3509287596549646
30.0,160.0,3.6,-4.3055532359563085,0.09877478634201832
30.0,160.0,3.8,-37.94539963343065,0.8705150153885234
30.0,170.0,2.4,0.18568906068865587,-0.0042599397314148505
30.0,170.0,2.6,21.667318474825738,-0.4970754362255658
30.0,170.0,2.8,-175.7998800489734,4.03306953582074
30.0,170.0,3.0,-33.73233493279281,0.7738620319402368
30.0,170.0,3.2,-19.598797754786982,0.44962097893083797
30.0,170.0,3.4,-11.257115440045087,0.2582523340164717
30.0,170.0,3.6,5.027819803252197,-0.11534448643789663
30.0,170.0,3.8,-27.874391002907686,0.6394734578434612
30.0,180.0,2.4,7.270705500408449,-0.16679909479718014
30.0,180.0,2.6,73.10934248647017,-1.677219926907394
30.0,180.0,2.8,-53.608494225830505,1.2298460321087212
30.0,180.0,3.0,-24.91743485654508,0.571637178607487
30.0,180.0,3.2,-15.313951887719266,0.35132124557866423
30.0,180.0,3.4,-6.583278084521041,0.1510286484900999
